experiment	status	best_val	vs_baseline	test_loss	conv_filter_size	local_conv_stride	conv2_time_kernel	out_channel	n_hid	gru_hidden	lr	batch_size	changes_from_baseline
e01	ok	0.1745159803	+0.0000000000	0.1758424840	20	10	19	32	32	32	5e-4	8	baseline
e02	ok	0.1742164621	-0.0002995182	0.1754517646	40	10	17	32	32	32	5e-4	8	conv_filter_size:20->40,conv2_time_kernel:19->17
e03	ok	0.1742765474	-0.0002394329	0.1755103679	40	20	9	32	32	32	5e-4	8	conv_filter_size:20->40,local_conv_stride:10->20,conv2_time_kernel:19->9
e04	ok	0.1743141623	-0.0002018180	0.1755328799	80	40	4	32	32	32	5e-4	8	conv_filter_size:20->80,local_conv_stride:10->40,conv2_time_kernel:19->4
e05	ok	0.1789392641	+0.0044232838	0.1809105289	20	10	19	32	16	32	5e-4	8	n_hid:32->16
e06	ok	0.1683951186	-0.0061208617	0.1689437329	20	10	19	32	64	64	5e-4	4	n_hid:32->64,gru_hidden:32->64,batch_size:8->4
e07	ok	0.1789533560	+0.0044373757	0.1809099148	20	10	19	32	32	64	1e-4	8	gru_hidden:32->64,lr:5e-4->1e-4
e08	oom	NA	NA	NA	20	10	19	32	32	32	1e-3	16	lr:5e-4->1e-3,batch_size:8->16
e10	ok	0.16087424792846045	-0.0136417323	0.16056430382529893	20	10	19	32	32	64	5e-4	4	gru_hidden:32->64,batch_size:8->4
e09	ok	0.1657689157128334	-0.0087470646	0.16602694194515547	20	10	19	32	64	32	5e-4	4	n_hid:32->64,batch_size:8->4
e11	ok	0.1606650434633096	-0.0138509368	0.16030828483899434	20	10	19	32	32	32	5e-4	4	batch_size:8->4
e12	ok	0.16161684646209082	-0.0128991338	0.16144556670387586	20	10	19	32	32	64	7.5e-4	4	gru_hidden:32->64,batch_size:8->4,lr:5e-4->7.5e-4
e14	ok	0.17006663328409194	-0.0044493470	0.17041080181797347	20	10	19	32	32	32	7.5e-4	4	batch_size:8->4,lr:5e-4->7.5e-4
e13	ok	0.17301089013616244	-0.0015050901	0.17415896943211556	20	10	19	32	32	32	2.5e-4	4	batch_size:8->4,lr:5e-4->2.5e-4
e15	ok	0.16105223697423934	-0.0134637433	0.16073728522658348	20	10	19	32	32	32	4e-4	4	batch_size:8->4,lr:5e-4->4e-4
e16	ok	0.1739185089667638	-0.0005974713	0.1751460574368636	20	10	19	32	32	32	6e-4	4	batch_size:8->4,lr:5e-4->6e-4
